0,0,0,0,0,0,0,2.390866264103134e-307,9.89446020739387e-288,5.1417513544623955e-269,3.874342901261982e-251,3.615584282323211e-234,9.09425200917377e-219,8.980393463800496e-202,1.1920172405940712e-185,1.3996511060177335e-170,2.3169824580719297e-156,5.485832940981553e-143,1.2684781951882802e-130,1.0770888222079281e-119,2.5167698884119663e-106,8.037009452767909e-95,3.1114717679823776e-84,1.7862524762886443e-74,1.375595248275088e-65,5.620134200217958e-58,9.01594136014155e-50,1.3096729709323134e-41,1.3634724991209032e-34,2.0011195849387564e-28,4.431448504349572e-23,1.1491633176547838e-18,2.7429056413941224e-17,9.628815380186329e-11,3.9613066837516733e-7,0.00019655311876505977,0.016888923758605904,0.2807942358644802,0.9462635417446595,0.6593649798523258,0.09539577407397128,0.0028366477875074285,0.000016816943767263032,1.8487604342337398e-8,3.0798072578234044e-12,2.683587058552923e-17,1.5105943675458761e-21,5.513404762337633e-26,1.5946575890749827e-31,6.769096143235228e-38,4.450708167417798e-45,3.4969096925251904e-53,4.034355441350296e-64,2.5342645406694724e-70,3.054434981332507e-79,4.153820105560925e-89,8.673894129380236e-100,2.704056057593614e-111,7.781825798326925e-124,3.73785347723289e-137,6.028407358917736e-149,2.99565464314089e-162,1.9858424788100653e-176,2.0697527069723267e-191,3.040038870366094e-207,2.4904213394507377e-224,8.149553753858933e-241,2.5699371356990565e-257,6.014775109015384e-275,2.062889859413673e-293,1.11800378299e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4.558440085882486e-307,1.8104007606214015e-287,9.072531951963984e-269,6.59843232883958e-251,5.925605351553466e-234,1.3568952907942762e-218,1.4479179676906029e-201,1.8389269228012168e-185,2.090582231964654e-170,3.3587505270618063e-156,7.716897637278424e-143,1.7195516386188483e-130,1.6155465313622816e-119,3.369737196067698e-106,1.0442468130950527e-94,3.942139455367097e-84,2.2095175018939926e-74,1.6592606700595765e-65,6.486860399210629e-58,1.0845188619408365e-49,1.5217049736873332e-41,1.5508931202605334e-34,2.2338328502419185e-28,4.8573457076118094e-23,1.2335338407327729e-18,2.0082335940309306e-17,1.029998983807359e-10,4.158455724677721e-7,0.00020351776355036975,0.0172801219667013,0.2842299965178139,0.9485249259586374,0.6550729685430077,0.0940075915940571,0.002774752340513929,0.000016338971835211906,1.784830690969392e-8,2.9533393161463398e-12,2.53282654302422e-17,1.4602301528560886e-21,5.280681056508944e-26,1.5221378499819231e-31,6.448857766900922e-38,4.235214048221174e-45,3.322865159063941e-53,3.5355361310945844e-64,2.4336825254510353e-70,2.935318114278355e-79,4.0030952663531196e-89,8.391565266445661e-100,2.6282411315604467e-111,7.600996053245194e-124,3.692307141427234e-137,5.981999159381937e-149,2.99565464314089e-162,2.003265151794226e-176,2.1081691390216822e-191,3.129935891428211e-207,2.6001292078690003e-224,8.544949141896265e-241,2.734426288293885e-257,6.489080747097729e-275,2.2580582078993825e-293,1.242883857187e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8.48227516552582e-307,3.2367968664544287e-287,1.565780516661203e-268,1.1002323848167766e-250,9.517913667161682e-234,1.9850187591142728e-218,2.2872215640566938e-201,2.7842936204918833e-185,3.067871737174959e-170,4.788165886972501e-156,1.0685731477410232e-142,2.2973674700883547e-130,2.365031956887409e-119,4.446852427867524e-106,1.33889693544217e-94,4.9335221381070135e-84,2.7022276678681587e-74,1.980876307079693e-65,7.422692098036657e-58,1.2903334532003638e-49,1.7522713445558082e-41,1.7501551205404152e-34,2.476256145016951e-28,5.2921751260402955e-23,1.3176633250441794e-18,1.3869618239986984e-17,1.0963568841522171e-10,4.349393334262741e-7,0.00021015167683212534,0.01764699608492557,0.28740131536367874,0.9505493117894006,0.6511673640344543,0.0927654043788135,0.002720105122323163,0.000015922317901907324,1.7298085769338388e-8,2.8459711059942512e-12,2.4075395694016474e-17,1.4178552413711114e-21,5.0889309124279225e-26,1.4633345421377651e-31,6.193518395152763e-38,4.066639293244879e-45,3.1898458164871833e-53,3.182123527958802e-64,2.3608550880875256e-70,2.853078697223495e-79,3.9056539141131716e-89,8.226586897043013e-100,2.5911325185574872e-111,7.541654143727981e-124,3.6923071414272235e-137,6.028407358917736e-149,3.045620231529502e-162,2.0564542835873974e-176,2.187151275375605e-191,3.285700972021561e-207,2.773772189370655e-224,9.130795215297024e-241,2.9702147475466743e-257,7.15420778160212e-275,2.5281600200661874e-293,1.41459280032e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.5405131415171906e-306,5.654974267113368e-287,2.643220965491124e-268,1.796158181912684e-250,1.4983895499892597e-233,2.8477434955189667e-218,3.540154219943048e-201,4.1376145004369857e-185,4.4232674452282545e-170,6.712900669675503e-156,1.4566031104560966e-142,3.0251815381266145e-130,3.382924246586108e-119,5.784036203874874e-106,1.6940986934489784e-94,6.0989120084770305e-84,3.267589724526293e-74,2.3406258318270663e-65,8.421149982570507e-58,1.518586197523385e-49,1.9998028678814907e-41,1.9594759812073593e-34,2.7259428260957982e-28,5.731398886770416e-23,1.4007318875834285e-18,8.850983287580302e-18,1.1612656505757284e-10,4.5324838977710746e-7,0.00021641054637901072,0.01798789110035041,0.2903024129269653,0.9523474772963495,0.6476495362982011,0.09166500714205923,0.002672358288415842,0.000015563114484932266,1.6830169041291162e-8,2.756008688057124e-12,2.3048533214361287e-17,1.3829008346247366e-21,4.9343955020757007e-26,1.416901610665028e-31,5.996496190896668e-38,3.9401510897153495e-45,3.0935640533428795e-53,2.9470184127619592e-64,2.3135092212039793e-70,2.804840984434151e-79,3.857823675821833e-89,8.172316163814367e-100,2.591132518557491e-111,7.600996053245207e-124,3.7378534772329045e-137,6.169797612094138e-149,3.148060967281209e-162,2.1482547265083206e-176,2.311199019128753e-191,3.5168597317565574e-207,3.023372930654744e-224,9.943158219520192e-241,3.293703710012769e-257,8.060310610986363e-275,2.895218600980852e-293,1.64832368847e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2.730839528794728e-306,9.65463768243396e-287,4.3646650040820557e-268,2.8710197600534937e-250,2.3120655266585384e-233,4.0072032698850053e-218,5.369297657172555e-201,6.035100365856165e-185,6.266112780064553e-170,9.255787891516297e-156,1.9546416030214e-142,3.9264504689674725e-130,4.732467181321273e-119,7.415617004664495e-106,2.115385076407634e-94,7.447807529324271e-84,3.906832542174851e-74,2.7374799425534834e-65,9.473441072292606e-58,1.7679928089430923e-49,2.2620323221493117e-41,2.176611862499732e-34,2.9800436408389083e-28,6.170026290042134e-23,1.4818866759350214e-18,5.03197347078534e-18,1.224018075683554e-10,4.70611116071044e-7,0.0002222518061477282,0.018301258289532572,0.2929280664662211,0.9539292851227616,0.6445205718429188,0.09070267343992619,0.00263121027708662,0.000015258068952021898,1.643889049053023e-8,2.6820601943035376e-12,2.2224689277745512e-17,1.3549034191910984e-21,4.814106128346361e-26,1.381799150084991e-31,5.852825471498046e-38,3.8522040518331935e-45,3.0309851969864215e-53,2.812567292068062e-64,2.2901908634315316e-70,2.788942971880396e-79,3.8578236758218336e-89,8.226586897043019e-100,2.628241131560445e-111,7.781825798326918e-124,3.830580013113401e-137,6.412835724007339e-149,3.308206834810744e-162,2.2836897557342843e-176,2.4875921511501812e-191,3.8380785260929056e-207,3.3670242716206664e-224,1.1034378382772796e-240,3.728659106791456e-257,9.280054532279238e-275,3.3912670152714565e-293,1.96634459355e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4.7252463429755354e-306,1.610818147101286e-286,7.050132278367668e-268,4.49338424392665e-250,3.496920881457342e-233,5.531973885052656e-218,7.980381967470374e-201,8.640378052349321e-185,8.721969197501106e-170,1.2551355992443624e-155,2.582229290221805e-142,5.023399614725625e-130,6.479748044286233e-119,9.37166973821068e-106,2.6068153544306104e-94,8.984528855480895e-84,4.618742402959347e-74,3.1690269476022306e-65,1.0568489350176512e-57,2.036354044500027e-49,2.5359829096842237e-41,2.3988770190679704e-34,3.2353482284747595e-28,6.602697925379075e-23,1.5602557333816148e-18,2.364958002792401e-18,1.2839016073016618e-10,4.86870112856379e-7,0.0002276350900488522,0.018585665130758277,0.2952736019682458,0.9553036481625937,0.6417813206339682,0.08987514369583305,0.002596403013604527,0.00001500441612745351,1.6119579410660253e-8,2.6230009268674396e-12,2.158580101750423e-17,1.3334955491894353e-21,4.725790659466225e-26,1.3572549251165263e-31,5.758949293883548e-38,3.800375281244158e-45,3.000168816167529e-53,2.768821103050703e-64,2.2901908634315306e-70,2.80484098443415e-79,3.905653914113168e-89,8.391565266445663e-100,2.704056057593616e-111,8.092776288246995e-124,3.9738478157511586e-137,6.769212643880019e-149,3.534454839397473e-162,2.470420977960544e-176,2.7271050575840067e-191,4.2707200191055475e-207,3.8310708842785823e-224,1.2478668289884472e-240,4.3091142001705456e-257,1.0918270658119723e-274,4.062957630680481e-293,2.401475245357e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7.98121545404789e-306,2.626495121931637e-286,1.1140019479326293e-267,6.8860540438654e-250,5.184404769907537e-233,7.494095840386882e-218,1.1624339930591572e-200,1.214250597953171e-184,1.1928996885074173e-169,1.6739917659289924e-155,3.358430885843613e-142,6.3352631137167505e-130,8.68930979503094e-119,1.1674934646307546e-105,3.1703812355883425e-94,1.070686545097539e-83,5.399253533939277e-74,3.6313487455747874e-65,1.169305815466908e-57,2.3205101213016764e-49,2.817987693681371e-41,2.6231830688823275e-34,3.488343041366429e-28,7.02378683692995e-23,1.6349629536104187e-18,7.533782428697592e-19,1.340211319679071e-10,5.018744902783992e-7,0.0002325226676881086,0.018839804347662956,0.297334887862509,0.9564784979222769,0.639432437384154,0.08917961470736724,0.0025677195322720333,0.00001479987894320922,1.586847088357128e-8,2.5779455945027077e-12,2.111810344623263e-17,1.318398652268311e-21,4.667803039206516e-26,1.3427362806194635e-31,5.712573449498966e-38,3.7832535158776514e-45,3.00016881616753e-53,2.8125672920680478e-64,2.3135092212039832e-70,2.8530786972234955e-79,4.003095266353118e-89,8.673894129380242e-100,2.8218875651730206e-111,8.548996896177767e-124,4.1729390709697203e-137,7.256583662792202e-149,3.8391049599356175e-162,2.7194726525549475e-176,3.0451055561479145e-191,4.8452108116135016e-207,4.453451894011151e-224,1.438044771661336e-240,5.083765152548657e-257,1.3126749853816892e-274,4.9787182482780835e-293,3.002566387076e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.315975414112328e-305,4.185428634908038e-286,1.7219867000441441e-267,1.0333320197122822e-249,7.534525338452224e-233,9.96481793885204e-218,1.6594989151784488e-200,1.6750356819285063e-184,1.6031620253125726e-169,2.195897833153017e-155,4.300347129281435e-142,7.876267584048885e-130,1.1418452565515568e-118,1.4337491647716774e-105,3.805421050576628e-94,1.2604869047793082e-83,6.2411336609465676e-74,4.118957558645787e-65,1.2831964820188413e-57,2.6163405687477207e-49,3.1037428370473123e-41,2.8460983426233033e-34,3.735284699238615e-28,7.427514398772352e-23,1.705143781690912e-18,5.869010277042883e-20,1.3922632624985436e-10,5.154821218453065e-7,0.0002368798565353291,0.019062502264228752,0.29910832674931004,0.9574607587773054,0.6374744175439476,0.08861373030769838,0.002544981978443808,0.000014642636234870452,1.5682634289473346e-8,2.546226738351775e-12,2.081165920451244e-17,1.3094175386975222e-21,4.6390728460144954e-26,1.3379310164426887e-31,5.712573449498967e-38,3.80037528124416e-45,3.0309851969864234e-53,2.9470184127619464e-64,2.3608550880875246e-70,2.935318114278353e-79,4.1538201055609254e-89,9.085139548118632e-100,2.986999868349888e-111,9.173384159585834e-124,4.435365757380879e-137,7.900027652306536e-149,4.2394759906419124e-162,3.046316547303346e-176,3.463195020301597e-191,5.604588656239198e-207,5.288794964003309e-224,1.6886712834035842e-240,6.122648938166479e-257,1.6127068354162674e-274,6.239968966545964e-293,3.84323710434e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1182518882873446e-305,6.518528872746599e-286,2.6040001519485154e-267,1.5184287442970422e-249,1.0734271286788598e-232,1.3009177519412685e-217,2.3220603968971648e-200,2.2682559147383182e-184,2.1171200390132165e-169,2.8331998115305766e-155,5.421344256663393e-142,9.653477562330235e-130,1.471047533886164e-118,1.7357438143231117e-105,4.50809359686068e-94,1.4659915339463636e-83,7.13380375212484e-74,4.624806514943439e-65,1.3968384926874258e-57,2.918815780924867e-49,3.3883956373605454e-41,3.0639264350097216e-34,3.9722869897922517e-28,7.808077796530371e-23,1.769961278353804e-18,1.096411304224291e-19,1.439407848620166e-10,5.275617980337049e-7,0.00024067540478164427,0.019252726222229885,0.30059084984654383,0.9582563257606238,0.6359076278150091,0.08817557356535509,0.0025280499835427517,0.000014531297208948218,1.5559918136423426e-8,2.527378660733584e-12,2.0660022272707857e-17,1.3064365941276607e-21,4.639072846014501e-26,1.342736280619464e-31,5.758949293883548e-38,3.8522040518331935e-45,3.0935640533428785e-53,3.182123527958744e-64,2.4336825254510337e-70,3.054434981332508e-79,4.3636231708059866e-89,9.642581606705414e-100,3.207003624268051e-111,9.998495559042686e-124,4.7713167350450535e-137,8.734195258290753e-149,4.759543207758352e-162,3.4724668814773034e-176,4.01163461564052e-191,6.609806133301391e-207,6.416208799175642e-224,2.0205463762628814e-240,7.527368174391263e-257,2.0246163395045483e-274,7.99891381347668e-293,5.03599405682e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.328699028325113e-305,9.922427947283716e-286,3.852398365707606e-267,2.1849719787293602e-249,1.4992151429651517e-232,1.6679720438246876e-217,3.1847843226629805e-200,3.015252374548727e-184,2.7473751269279166e-169,3.5954897001899857e-155,6.729101205070233e-142,1.1664667209763123e-129,1.8587325424517587e-118,2.0715879021850267e-105,5.270968674909491e-94,1.6844157236385127e-83,8.063326648077987e-74,5.140383724320718e-65,1.5084238559723475e-57,3.22210374162819e-49,3.66666632235216e-41,3.272801924865406e-34,4.195418914231822e-28,8.159785299182296e-23,1.8286221751681857e-18,7.133597005899366e-19,1.4810429495594394e-10,5.379952555301067e-7,0.00024388183954015053,0.019409591159840187,0.3017799097714341,0.9588700462201136,0.6347323313863348,0.08786366026079233,0.0025168193721915996,0.000014464881963050815,1.549890994081871e-8,2.5211262891272897e-12,2.0660022272707715e-17,1.3094175386975241e-21,4.667803039206516e-26,1.3572549251165287e-31,5.852825471498045e-38,3.9401510897153495e-45,3.1898458164871833e-53,3.5355361310945196e-64,2.5342645406694717e-70,3.214686290557951e-79,4.640793025204591e-89,1.0370425238460222e-99,3.492440664689734e-111,1.1069370606279154e-123,5.194277366194787e-137,9.806403629324646e-149,5.432314350852417e-162,4.027814823775287e-176,4.732936915574346e-191,7.94769706099254e-207,7.95130222553178e-224,2.4633355949280514e-240,9.446907518877453e-257,2.5972440514010575e-274,1.0487133718874976e-292,6.755375658506e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.106856786476846e-305,1.4762393294024354e-285,5.575853300567551e-267,3.078970184340141e-249,2.05278939765309e-232,2.100984796001769e-217,4.2817074080436274e-200,3.9348625952847145e-184,3.5035157478219877e-169,4.488110738142768e-155,8.223625138431239e-142,1.389641788443438e-129,2.304233182701711e-118,2.4374574606334612e-105,6.082791395900279e-94,1.9120479304184442e-83,9.012590922374736e-74,5.6558947638732305e-65,1.616064595240292e-57,3.5197314907545944e-49,3.9330002629391846e-41,3.468800155372352e-34,4.400810492459223e-28,8.477195083800905e-23,1.8803924610844468e-18,1.6676313816444974e-18,1.5166262907546638e-10,5.466790290504596e-7,0.0002464757738451828,0.019532365144289868,0.30267347559173097,0.9593057050820479,0.6339487082625557,0.08767693386004013,0.002511221219227777,0.000014442807975466221,1.5498909940818704e-8,2.5273786607335838e-12,2.0811659204512493e-17,1.3183986522683108e-21,4.7257906594662255e-26,1.3817991500849912e-31,5.99649619089667e-38,4.066639293244879e-45,3.3228651590639456e-53,4.034355441350407e-64,2.665810670749679e-70,3.4219635299377165e-79,4.9966574433070784e-89,1.1301550050496317e-99,3.857623766985798e-111,1.2447600296586546e-123,5.7218691233617055e-137,1.118106272232433e-148,6.303271844489983e-162,4.754054304692345e-176,5.687212775143702e-191,9.743039496795189e-207,1.006491784785342e-223,3.059756901216302e-240,1.2102383653623632e-256,3.404540476331391e-274,1.4062181414610806e-292,9.27645926703e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.649433928751054e-305,2.1467286250960332e-285,7.89572174748889e-267,4.2489718572714453e-249,2.7556714885984814e-232,2.6007420739036675e-217,5.642912285715366e-200,5.041034979259997e-184,4.390484218177089e-169,5.510639979237165e-155,9.89542894841062e-142,1.632266304371226e-129,2.803386205961095e-118,2.8274596314530694e-105,6.928471192103974e-94,2.1443036441738888e-83,9.961704167173559e-74,6.160532421601669e-65,1.7178437051610452e-57,3.80479726557387e-49,4.181745196217023e-41,3.6480569112418473e-34,4.58476246316874e-28,8.755252950537176e-23,1.9246121077068923e-18,2.7736442831150546e-18,1.5456868398864587e-10,5.535260954786188e-7,0.0002484381712919253,0.019620474063027377,0.3032700281695375,0.959566013634836,0.6335568700315397,0.08761476193600115,0.002511221219227778,0.000014464881963050815,1.555991813642342e-8,2.5462267383517774e-12,2.111810344623261e-17,1.3334955491894375e-21,4.8141061283463686e-26,1.4169016106650288e-31,6.193518395152763e-38,4.2352140482211763e-45,3.496909692525195e-53,4.7178471530740813e-64,2.832636499062561e-70,3.6841527428691164e-79,5.4463529435981244e-89,1.2479975971471544e-99,4.321825035090194e-111,1.421715679145087e-123,6.376974794521749e-137,1.2946008410365634e-148,7.435378429280681e-162,5.709740943451486e-176,6.960197019870705e-191,1.2177003846167494e-206,1.30126794946214e-223,3.8719853933394586e-240,1.582625686980926e-256,4.560078887583783e-274,1.928461625502793e-292,1.303992159281e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1187029126078952e-304,3.051332521765955e-285,1.0939121598465208e-266,5.742367181743289e-249,3.6268191963408225e-232,3.1649325551924504e-217,7.290484183323726e-200,6.340205473565753e-184,5.406932967348456e-169,6.655507091735178e-155,1.1724092928805202e-141,1.8903900154057624e-129,3.348082375206742e-118,3.233630038295612e-105,7.789333475108071e-94,2.3758420520426066e-83,1.0888594890010879e-73,6.642826427614681e-65,1.8118695353688117e-57,4.070224542785889e-49,4.4073459402928615e-41,3.806893088001665e-34,4.7438556145331445e-28,8.989424171394308e-23,1.9607085684095015e-18,3.8484481189396016e-18,1.567834880956716e-10,5.584672626605407e-7,0.00024975456194620445,0.019673505220701867,0.3035685568873769,0.9596526018133251,0.6335568700315398,0.08767693386004016,0.0025168193721915996,0.000014531297208948221,1.5682634289473346e-8,2.5779455945027077e-12,2.1585801017504234e-17,1.3549034191910984e-21,4.9343955020756927e-26,1.4633345421377651e-31,6.448857766900925e-38,4.450708167417798e-45,3.717749178389161e-53,5.6414750317973475e-64,3.0403976727270086e-70,4.0116321369238235e-79,6.009891474232378e-89,1.3964302711397826e-99,4.910950204789186e-111,1.649274800721304e-123,7.189237224069026e-137,1.522160159345622e-148,8.916404291424162e-162,6.977824866690112e-176,8.675413002697133e-191,1.551567882122939e-206,1.7182184654243476e-223,4.991556256485656e-240,2.1125261221771757e-256,6.240883892142596e-274,2.704727027125139e-292,1.8763707902425e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5974329135021726e-304,4.2393937576142646e-285,1.4828333532145566e-266,7.600394544292422e-249,4.6800641782841676e-232,3.787769652181869e-217,9.234048793111297e-200,7.828687893226221e-184,6.543756599341857e-169,7.906931312115201e-155,1.367743782558505e-141,2.158726191007454e-129,3.9260892880735245e-118,3.646084967527407e-105,8.643652710976451e-94,2.6007449556443564e-83,1.1769805254253972e-73,7.091059278775533e-65,1.8963316354832583e-57,4.30904603026205e-49,4.604547475215669e-41,3.941938786709222e-34,4.8750552968365395e-28,9.175814705943613e-23,1.9882086196731688e-18,4.736381265970741e-18,1.5827704026061343e-10,5.614522915926222e-7,0.0002504152062691281,0.019691209963335135,0.30356855688737705,0.959566013634836,0.6339487082625557,0.08786366026079233,0.0025280499835427517,0.000014642636234870454,1.5868470883571283e-8,2.6230009268674388e-12,2.2224689277745518e-17,1.3829008346247336e-21,5.0889309124279185e-26,1.5221378499819234e-31,6.769096143235228e-38,4.7194716445112216e-45,3.992952089498362e-53,6.882746504395972e-64,3.2964058542755065e-70,4.41795097860457e-79,6.713628954937546e-89,1.5832496804252163e-99,5.659900603026552e-111,1.9431842791071747e-123,8.197049041330388e-137,1.8173886387205636e-148,1.0869740372857973e-161,8.676974040417951e-176,1.1012806799954343e-190,2.015469846199159e-206,2.316937266942588e-223,6.554849215005714e-240,2.878275280342807e-256,8.727119193623734e-274,3.8795481407470242e-292,2.763780983132e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.227227480574417e-304,5.757434069639253e-285,1.9666635808480295e-266,9.85208381815417e-249,5.921290752299528e-232,4.4598356489497065e-217,1.1466351346369551e-199,9.490399576916235e-184,7.783010674857541e-169,9.24036101339297e-155,1.571151270095482e-141,2.4307583956329385e-129,4.521219086469224e-118,4.053338710152832e-105,9.467461584464918e-94,2.8127518775515238e-83,1.2581439796436934e-73,7.493728233830354e-65,1.9695558177440668e-57,4.514701936918573e-49,4.768596305869839e-41,4.050251093419368e-34,4.975806704156045e-28,9.311277360463048e-23,2.006748291535878e-18,5.318773003508526e-18,1.5902896669777969e-10,5.624507063486041e-7,0.0002504152062691281,0.019673505220701867,0.3032700281695375,0.9593057050820479,0.6347323313863348,0.08817557356535509,0.0025449819784438077,0.000014799878943209222,1.6119579410660253e-8,2.6820601943035364e-12,2.3048533214361287e-17,1.4178552413711106e-21,5.280681056508946e-26,1.5946575890749827e-31,7.16271231438201e-38,5.0496814188393636e-45,4.332313885509117e-53,8.549613138727896e-64,3.610051220490962e-70,4.9207514991747014e-79,7.592285213188833e-89,1.8188567284254264e-99,6.6159196276610305e-111,2.325209187916198e-123,9.4501877187327e-137,2.2033765134127853e-148,1.3470502871733287e-161,1.0978770008736867e-175,1.4237612790071758e-190,2.668991195835643e-206,3.1903780797507358e-223,8.767578468750095e-240,4.002745166561863e-256,1.246916344433954e-273,5.690817453665791e-292,4.1669624188277e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0321556208644556e-304,7.643173578760407e-285,2.5521346274569548e-266,1.2507626712329625e-248,7.345647151865012e-232,5.168183712889441e-217,1.3959466628300882e-199,1.1295281052807116e-183,9.097427203268909e-169,1.0622577556137387e-154,1.777154614512991e-141,2.698952659488879e-129,5.113881599960753e-118,4.442781222097368e-105,1.0235604194394817e-93,3.005539746138659e-83,1.3300219484841771e-73,7.840028844926436e-65,2.0300561530680027e-57,4.681335279997802e-49,4.895429294746826e-41,4.1294198391064865e-34,5.044116788356035e-28,9.393498894407078e-23,2.016080556334747e-18,5.5213329039973574e-18,1.5902896669777958e-10,5.614522915926221e-7,0.0002497545619462045,0.01962047406302737,0.30267347559173097,0.9588700462197908,0.6359076278150091,0.0886137303076984,0.0025677195322720333,0.00001500441612745351,1.6438890490530224e-8,2.7560086880571245e-12,2.4075395694016474e-17,1.46023015285609e-21,5.513404762337629e-26,1.6825968043505223e-31,7.640452938177327e-38,5.451752129876326e-45,4.748430563129726e-53,1.0792527570847365e-63,3.9933650612787024e-70,5.543020640048866e-79,8.691729143414262e-89,2.117191683534768e-99,7.843363304985034e-111,2.8256763317096432e-123,1.1013298557697467e-136,2.712518148112746e-148,1.6969752372752097e-161,1.4134102027130475e-175,1.8745588827628294e-190,3.603070194693258e-206,4.48568290498786e-223,1.1943980055883377e-239,5.681554293430525e-256,1.8202676996918328e-273,8.53677664638634e-292,6.4306615762804e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.030820135838582e-304,9.918497724374983e-285,3.240560927614859e-266,1.5551919861014484e-248,8.935162344440533e-232,5.896707019399404e-217,1.6662294468712366e-199,1.3198758214911142e-183,1.045070399593903e-168,1.2012574889686592e-154,1.9793924580676014e-141,2.9550708829647547e-129,5.682024183677718e-118,4.801293897678161e-105,1.092297468373657e-93,3.173030531415306e-83,1.390457788812297e-73,8.120332163438126e-65,2.0765819879853462e-57,4.804065739517771e-49,4.981839738452906e-41,4.177656064738397e-34,5.078619179601071e-28,9.421064745359218e-23,2.0160805563347504e-18,5.318773003508616e-18,1.582770402606134e-10,5.584672626605407e-7,0.0002484381712919253,0.019532365144289854,0.301779909771434,0.9582563257606238,0.6374744175439475,0.08917961470736721,0.002596403013604526,0.000015258068952021898,1.6830169041291162e-8,2.845971105994248e-12,2.5328265430242255e-17,1.5105943675458773e-21,5.791771700329181e-26,1.7880813964905178e-31,8.215816032270975e-38,5.938876572611547e-45,5.257463866709799e-53,1.3821769832535884e-63,4.461768842122574e-70,6.314793985351655e-79,1.0072835947595965e-88,2.4970518111751214e-99,9.430550127957738e-111,3.487219816100788e-123,1.2970484819455662e-136,3.3906917088315194e-148,2.1731287762710967e-161,1.8514129525493717e-175,2.5134751786292645e-190,4.958402732016084e-206,6.439305786530544e-223,1.6570261008217476e-239,8.230902027308752e-256,2.714901342632872e-273,1.3095687327724681e-291,1.0157816061142e-310,0,0,0,0,0,0,0,0,0,0,0,0,0
