1560,1559.7979797979797,1559.5959595959596,1559.3939393939395,1559.1919191919192,1558.989898989899,1558.7878787878788,1558.5858585858587,1558.3838383838383,1558.1818181818182,1557.9797979797981,1557.7777777777778,1557.5757575757577,1557.3737373737374,1557.171717171717,1556.969696969697,1556.7676767676767,1556.5656565656568,1556.3636363636365,1556.1616161616162,1555.959595959596,1555.7575757575758,1555.5555555555557,1555.3535353535353,1555.151515151515,1554.9494949494951,1554.7474747474748,1554.5454545454545,1554.3434343434344,1554.141414141414,1553.939393939394,1553.7373737373737,1553.5353535353534,1553.3333333333335,1553.1313131313132,1552.9292929292928,1552.7272727272727,1552.5252525252527,1552.3232323232323,1552.121212121212,1551.919191919192,1551.7171717171718,1551.5151515151515,1551.3131313131312,1551.1111111111113,1550.909090909091,1550.7070707070707,1550.5050505050506,1550.3030303030305,1550.1010101010102,1549.8989898989898,1549.6969696969695,1549.4949494949497,1549.2929292929293,1549.090909090909,1548.8888888888887,1548.6868686868688,1548.4848484848485,1548.2828282828282,1548.080808080808,1547.878787878788,1547.6767676767677,1547.4747474747473,1547.2727272727275,1547.0707070707072,1546.8686868686868,1546.6666666666665,1546.4646464646464,1546.2626262626263,1546.060606060606,1545.8585858585861,1545.6565656565658,1545.4545454545453,1545.2525252525252,1545.050505050505,1544.8484848484848,1544.6464646464647,1544.4444444444443,1544.2424242424242,1544.040404040404,1543.8383838383838,1543.6363636363637,1543.4343434343436,1543.2323232323233,1543.030303030303,1542.828282828283,1542.6262626262626,1542.4242424242425,1542.2222222222224,1542.0202020202023,1541.818181818182,1541.6161616161614,1541.4141414141413,1541.212121212121,1541.010101010101,1540.8080808080808,1540.6060606060607,1540.4040404040404,1540.2020202020203,1540
0.00011166575321019149,0.0001516888829515343,0.0001264719897996769,0.00005496327295344566,0.000002372899371670765,0.000026173410369008406,0.00012153204831265726,0.00021684270260408957,0.00023063761287712292,0.00014577171130073562,0.00003454924823978866,0.0000045967810779685335,0.00010439618356593824,0.0002701164211009233,0.0003686277581481064,0.00031049490327109206,0.00013861934351442677,0.000007531797232155226,0.00005711988880299535,0.0002820837406226364,0.0005163469621312177,0.0005627382824333844,0.0003693845899445761,0.0000978772015384932,0.000005773053248915525,0.00022484384300843293,0.00062290901685373,0.0008869869598870912,0.0007830951216992322,0.0003810467676260701,0.00003478883184062015,0.00010146460003560644,0.000617141221222247,0.0012173053931664529,0.001409471649211424,0.001001855652928434,0.00032267001382154027,8.511999034216507e-7,0.00044160606681002907,0.0014251902274307934,0.0022098696105033885,0.0021229171625892634,0.0011816821838948337,0.00018950012275100836,0.0001371191844954288,0.0013375356225520324,0.0030297044181631753,0.003885182841850674,0.003113946113229605,0.0012780520261663788,0.00003104034844691058,0.0008253111385047694,0.003559435839965028,0.006368230068309656,0.006963986204639203,0.004633553893628047,0.0012355914980059076,0.00009435503279160014,0.0033216323955552927,0.009606736523917848,0.014560644628645598,0.01393741739901597,0.007607357319363435,0.0009588994139144164,0.0017606318831012093,0.013889335464669528,0.032425623101101295,0.04485691082600449,0.0396243595937053,0.0178275620112704,0.0002083175366151225,0.022666524299439633,0.11971143018464882,0.30312512337603587,0.5477249818477805,0.7939617544771261,0.9686753327826093,1.0151918854560682,0.9180649416005422,0.7098672366198531,0.45658990113992703,0.22925725804834424,0.07606396832834134,0.008087864897291401,0.003552378880942366,0.025678828475246683,0.04303377704587234,0.04189785849852141,0.026330535462461946,0.009029488474613604,0.00038243319256353435,0.0023669217470662575,0.00953492853250213,0.014549747436460956,0.013567753760523294,0.00798547942537653,0.0022358081718842357,5.3336979153140115e-8,0.0017589973141801845,0.005091350957690429
0.00004355869545816022,0.00011197628163145449,0.00015173938697057523,0.00012622988790143814,0.0000546556068759837,0.0000022943044887516795,0.000026425996092048527,0.00012192867310777549,0.00021706571316132452,0.00023051729060829176,0.00014543730473452976,0.00003431572074042638,0.000004687061058956914,0.000104747702103989,0.0002704441020618493,0.00036868171574662244,0.00031027533185470815,0.0001383566701905464,0.000007463132989394569,0.000057280742599547996,0.0002823076172447912,0.000516453528281442,0.0005627053522532214,0.0003693280188132756,0.00009787720153849291,0.0000057600897223919695,0.00022469612126067455,0.0006226642188527139,0.0008868995588089853,0.0007833960492660462,0.00038160152605726195,0.000035053452094286904,0.00010092647568406,0.0006159253917138019,0.00121631461398505,0.0014097224184534314,0.0010034377585448945,0.0003243100390248,7.455695836700179e-7,0.0004390776064424337,0.0014217336175878228,0.0022083362387236415,0.0021250947415807518,0.0011862045477227731,0.00019225028213965095,0.0001344430056853581,0.0013299197836643317,0.003022472548621066,0.0038847085305140595,0.0031217947655140794,0.0012881054811966944,0.00003317501631161436,0.0008139264211009318,0.003540063156457727,0.006355417797206694,0.00697000637750312,0.004655975642737706,0.0012550927958671749,0.00008783107437469552,0.0032828875761015987,0.009557719663747489,0.014539751769616197,0.013968291892552356,0.007670566994633756,0.000993624362744486,0.0017056103950603152,0.013740400148954501,0.03226410637405087,0.04481096445825214,0.039766808616216204,0.018066295114877846,0.00025114356698252295,0.022115477076928312,0.11826799844886306,0.3008086867077449,0.5449744800177968,0.7915350940268526,0.967365705279946,1.0154873671904943,0.9199221581972346,0.712719761855447,0.45959169339594186,0.2316385198793342,0.07742193557410168,0.00847840600636775,0.0033617749158995733,0.025370612790957394,0.042917687977176905,0.042033349084799713,0.02658543659157489,0.009225490893534322,0.0004243173326887668,0.002284026886499715,0.009431436446470872,0.014517213063018564,0.01362563568957093,0.00808338499526913,0.0023033667860701992,8.982907593988304e-7,0.0017106375254538923
0.0000020641927608145887,0.00004385062083510091,0.00011225922776935067,0.0001517840182233152,0.0001260099900481978,0.000054378977954351804,0.000002225070205743539,0.00002665145081225455,0.00012227866697388416,0.00021726005980589352,0.0002304121589193358,0.0001451504547618293,0.000034118609287982075,0.000004762967940829245,0.00010503560217716836,0.00027070603255791443,0.0003687232722331541,0.00031011042216239515,0.0001381690969294122,0.00000741752489592328,0.00005737735572842317,0.0002824195601428449,0.0005164890332024948,0.0005627053522532211,0.0003693845899445763,0.00009796937471026733,0.000005721287278948089,0.00022440078319495304,0.0006222561056495139,0.0008867679413932241,0.0007838167442073764,0.00038234132042428424,0.00003539505713381205,0.00010025574668835127,0.0006144398879950928,0.001215123212017735,0.001410014358971254,0.0010052810887251056,0.0003262057465400569,6.3343812584368e-7,0.00043621917386465705,0.0014178423941607961,0.002206608595748502,0.0021274987386445364,0.0011912013632954604,0.00019529544948994042,0.00013154199299294895,0.0013216252750869297,0.003014589144413935,0.0038841449681213383,0.0031302348474854455,0.0012989513650435444,0.00003554499960638417,0.0008018093674388155,0.0035193607837420756,0.006341650306649375,0.006976268236299894,0.004679737236616181,0.0012758967176245343,0.00008118146260411708,0.003242127022518627,0.009505902137861719,0.01451734589357373,0.01400036354513342,0.007736970859629312,0.001030666378398656,0.0016488657929483472,0.013584975220189744,0.03209456064456161,0.044761234904615504,0.03991383803232309,0.018315644985744416,0.00029988426833179845,0.021549666371229566,0.11677569277631747,0.29840713704073824,0.5421165647329328,0.7890060301497408,0.9659895105740699,1.015773756078619,0.9218308210159827,0.7156674213973648,0.46270290937002884,0.23411389096678425,0.07884012898778547,0.00889279116087184,0.003169480851606975,0.025051367277699115,0.04279424623573828,0.042170189165367744,0.0268478658299839,0.009429312934029755,0.0004697930560841738,0.002199846351595456,0.009324414249353761,0.01448229256244482,0.013684012060286736,0.008183978655118425,0.002373704350429899,0.000002840074719713946
0.000013683124412125475,0.0000021324628765257994,0.00004411656913957559,0.00011251474542171453,0.000151823142036554,0.0001258125549968048,0.00005413330412213415,0.000002164835491925206,0.000026849443442751357,0.0001225820158189989,0.0002174260561594594,0.00023032258347348576,0.00014491126238664172,0.00003395767042396679,0.000004824134284113831,0.00010525970681904259,0.0002709023545460167,0.0003687527354355757,0.00031000037215150287,0.0001380565734624241,0.000007394771299986847,0.000057409576670108847,0.00028241956014284477,0.0005164535282814422,0.0005627382824333845,0.0003695542807178303,0.00009815381891891083,0.000005656909734422266,0.00022395803986291718,0.0006216845002480737,0.0008865914888683096,0.0007843566026853553,0.0003832662492719982,0.00003581467873199751,0.00009945369930932453,0.0006126850247752583,0.0012137298496252109,0.0014103452578953474,0.0010073844900523974,0.0003283585566128081,5.182337697622558e-7,0.00043303348385288813,0.0014135157166141,0.0022046820908015827,0.002130124210635335,0.0011966720450302705,0.00019864124166221584,0.00012842436535870667,0.0013126558430593771,0.0030060487561607294,0.003883480266471487,0.003139257680441527,0.0013105934860223776,0.0000381666007502183,0.0007889770014380117,0.0034973307603194973,0.006326908691578795,0.006982744090675335,0.004704826272077238,0.0012980230771496913,0.00007445007076448449,0.003199385413629449,0.0094512743212826,0.014493368257443684,0.014033564852410097,0.007806556483684205,0.001070104904477859,0.0015905350412562338,0.013423152943906776,0.03191692886359956,0.04470750412686984,0.040065209431420654,0.018575608586420645,0.00035500453925540494,0.02097006074703459,0.11523572306804891,0.29592142239149494,0.5391513942073122,0.7863736474724371,0.9645449100746307,1.0160488513718433,0.9237891083010118,0.7187093611675338,0.46592384211087606,0.23668452554484845,0.08031998573292072,0.009332164720883433,0.0029760316723768557,0.024721050395014058,0.04266311766648674,0.04230808134295788,0.027117753908607458,0.009641101906886914,0.0005190754422456059,0.002114506838755247,0.009213839477887151,0.014444867074742056,0.013742773964416968,0.008287238313957019,0.0024468862825119974
0.0000588324292008198,0.000013537929941720235,0.0000021951926325705607,0.00004435637691869911,0.00011274297583659888,0.00015185708737930727,0.00012563781260607325,0.00005391851072114388,0.0000021132808294127883,0.000027019685275624267,0.000122838709226932,0.0002175639721414759,0.0002302488735027164,0.0001447198104910507,0.00003383270405326863,0.000004870266241657753,0.00010541987896822506,0.0002710331761313726,0.0003687703254687489,0.00030994531434613257,0.0001380190689576432,0.000007394771299986894,0.000057377355728423365,0.0002823076172447916,0.0005163469621312178,0.0005628040070827619,0.0003698370179354852,0.00009843072906133633,0.0000055673967385154755,0.0002233682080812938,0.0006209491584206097,0.0008863693766768323,0.0007850148461506324,0.00038437642866506755,0.00003631357559854779,0.00009852187979940647,0.0006106611814689963,0.001212132975435036,0.0014107125620297215,0.001009746631022841,0.00033077006042901724,4.038088154140672e-7,0.00042952358486509056,0.0014087526848172746,0.0022025516681879456,0.0021329656977237413,0.0012026159009202063,0.00020229373862369602,0.00012509906557752306,0.0013030156251943109,0.002996845586870271,0.003882701639855082,0.003148853849676702,0.0013230357618334856,0.000041057159551445904,0.0007754475858436584,0.003473975511836105,0.006311173083207637,0.006989404524840746,0.004731229256663046,0.001321492378114285,0.00006768308961887117,0.003154699756578383,0.00939382684019441,0.014467757621472678,0.0140678245239648,0.007879309489487823,0.001112021797345764,0.00153076136374636,0.013255031652881525,0.03173115440425796,0.04464954649857202,0.040220672315558106,0.018846175973358924,0.0004169787218504282,0.020377660354221623,0.113649347817525,0.29335254001993505,0.5360791522410571,0.7836370188541534,0.9630300116552425,1.0163103722688156,0.925795117376493,0.7218446723727601,0.4692547705514446,0.2393516033926114,0.08186299149053872,0.009797720315875901,0.002781994469454897,0.024379629742476348,0.04252396012169047,0.04244671483732683,0.027395023170844322,0.009861005858240403,0.0005723866121056106,0.002028142346397375,0.009099692515555324,0.014404815380029346,0.013801807755630635,0.008393138563566278
0.00009356133474300554,0.00005864709837987256,0.000013407780594236792,0.000002252093535347309,0.000044569898418700234,0.00011294404701395701,0.00015188614732043358,0.00012548596479567832,0.00005373453075154485,0.000002070128837180459,0.000027161929327368345,0.00012304873958186074,0.00021767403332103035,0.00023019128174826565,0.00014457616476852187,0.00003374355409942539,0.0000049011433423013585,0.00010551602119942347,0.0002710985689102652,0.0003687761740536144,0.00030994531434613257,0.00013805657346242404,0.000007417524895923338,0.00005728074259954766,0.00028208374062263617,0.0005161691787886156,0.0005629022528204065,0.0003702326811836901,0.00009880039753789096,0.000005453363781005837,0.0002226317126042526,0.0006200497677446991,0.000886100576038913,0.0007857905202243474,0.00038567199667821254,0.000036893230705935144,0.0000974620940620874,0.0006083688049749458,0.0012103308259185288,0.0014111133749344267,0.0010123659992164911,0.0003334420175894469,2.9443749963835364e-7,0.0004256928707903454,0.0014035523437914942,0.0022002118111683136,0.002136017224085817,0.0012090321177446461,0.00020625947742635938,0.00012157576297608304,0.0012927091635936863,0.002986973514461282,0.0038817954128438784,0.0031590131824823457,0.0013362821930512447,0.000044235035250192684,0.0007612406191323224,0.003449297877904851,0.0062944226826440915,0.006996218404511383,0.004758931555382331,0.0013463257541317048,0.00006092899972107082,0.0031081094017119983,0.009333550721436188,0.014440450301516113,0.014103067495972753,0.007955213452202526,0.0011565011645096005,0.0014696941527075698,0.013080715835852075,0.03153718146234389,0.0445871290348896,0.040379963987906456,0.01912732961094303,0.0004862894902785203,0.01977349537645784,0.1120178730928637,0.2907015351916264,0.5329000504024994,0.7807952054841468,0.9614428710388851,1.0165559580040984,0.9278468637942747,0.7250723898495797,0.47269595933946307,0.2421163298528537,0.08347068117861581,0.010290701784335667,0.0025879699024243317,0.024027083191161966,0.042376423823010566,0.042585765255968105,0.027679587207630967,0.010089173228046804,0.0006299557129058412,0.0019408944472110413,0.008981956904543115,0.014362014048596885,0.0138609949829905
0.00008822839294802999,0.00009350195097180849,0.00005848110479792196,0.00001329251221278725,0.0000023029074570171675,0.000044757005362732914,0.00011311807306824779,0.0001519105783567316,0.00012535718565450865,0.00005358130592233202,0.0000020351442163055626,0.00002727597034849614,0.00012321210129115508,0.00021775642043583726,0.00023015000452944546,0.00014448037401480792,0.0000336901089701018,0.0000049166185854611904,0.00010554807521556407,0.00027109856891026536,0.0003687703254687484,0.00031000037215150254,0.0001381690969294128,0.0000074631329893945385,0.000057119888802995605,0.0002817479473329172,0.000515919919916121,0.0005630326099797115,0.00037074110075969714,0.00009926321253042512,0.000005315602139635471,0.0002217490858278573,0.0006189859503713284,0.0008857838533037557,0.0007866824945745243,0.0003871531036226035,0.000037555350604444066,0.0000962764103692297,0.0006058084166395307,0.0012083214287218142,0.0014115444596623898,0.0010152408927000477,0.0003363763476210683,1.9481418552553545e-7,0.0004215450827935289,0.0013979136981645953,0.002197656551503445,0.0021392722898788126,0.0012159197463340226,0.0002105454349103386,0.0001178648564777623,0.0012817414245953915,0.002976426113168902,0.00388074702521549,0.0031697247295995037,0.0013503368275668776,0.000047719588312503824,0.000746376868920534,0.003423301177266709,0.006276635803043123,0.007003152856362291,0.0047879173408366775,0.0013725448924579269,0.00005423854607133049,0.0030596561330595872,0.009270437494267095,0.014411380280535274,0.014139214835190364,0.00803424970649119,0.0012036291119915713,0.0014074889198538902,0.012900316371298834,0.031334955486016204,0.04452001174006897,0.04054280942072633,0.019419043575710056,0.0005634266668787642,0.019158625801480512,0.1103426521069186,0.28796950301481344,0.5296143301211121,0.7778472608750476,0.9597814934867597,1.016783168094096,0.9299422799863475,0.7283914898797117,0.4762476545641804,0.24497993299309972,0.08514463794790963,0.01081240433215691,0.002394593660086343,0.023663400070669235,0.042220151795418964,0.042724894276482205,0.02797135014892464,0.010325752386520785,0.000692018878059919,0.0018529125900610922,0.008860619710778441,0.014316337604055006
0.000049646130728374806,0.0000883248636817717,0.00009344864304293044,0.00005833450725574636,0.000013191977963438605,0.0000023474066006683314,0.00004491758643364103,0.00011326515416945145,0.0001519306007598343,0.00012525162195470662,0.0000534587865655397,0.0000020081342276789707,0.000027361644301508404,0.00012332879059614462,0.00021781126970974363,0.00023012518220974206,0.00014443247060507127,0.000033672301513216,0.000004916618585461237,0.00010551602119942397,0.00027103317613137224,0.00036875273543557563,0.00031011042216239526,0.00013835667019054663,0.000007531797232155188,0.00005689504625519377,0.0002813002650492588,0.0005155988234537995,0.0005631945327602577,0.000371362055515151,0.00009981965722489826,0.000005155078669746779,0.00022072096971814738,0.0006177572634585975,0.0008854177711664869,0.0007876894592040472,0.0003888199133150403,0.00003830186191428528,0.00009496716012170286,0.0006029806133278588,0.0012061026102583054,0.0014120022364237908,0.0010183694157761291,0.00033957511852795405,1.1005095268402374e-7,0.0004170843191319763,0.0013918357212371836,0.0021948794737589395,0.0021427238634856996,0.0012232776885552827,0.00021515901582430848,0.00011397747500935581,0.0012701178149593546,0.0029651966773518628,0.0038795410403337695,0.003180976740090522,0.0013652037284350334,0.00005153115515099518,0.0007308783823972057,0.0033959892536960285,0.00625778992422877,0.00701017327910565,0.004818169516739467,0.0014001719358553851,0.00004766470456032903,0.003009384225297182,0.009204479326457756,0.01438047929240508,0.014176183744696334,0.008116397121233247,0.0012534935723816564,0.0013443072443501327,0.012713950805576803,0.031124423526581513,0.04444794786819254,0.040708921032404734,0.019721282786350092,0.0006488859774526392,0.01853413979233919,0.10862508615424113,0.2851575897248985,0.5262222647018677,0.7747922335446689,0.958043835826717,1.0169894825021224,0.9320792138281546,0.7318008854219245,0.47991008195294693,0.24794366224423595,0.08688649384172198,0.01136417542556574,0.002202538067350792,0.023288582350093318,0.0420547802721177,0.04286374938081389,0.028270206071249197,0.010570891196904578,0.0007588191828558129,0.0017643543710388044,0.00873567186677046
0.000010841764206161294,0.00004979857762870385,0.00008840961581414103,0.00009340159560890642,0.00005820735660683043,0.000013106048452707646,0.0000023853937014383374,0.000045051547221119546,0.00011338537561418942,0.00015194639810583413,0.00012516939324225073,0.00005336693252044236,0.0000019889487108450865,0.0000274188283811184,0.00012339880515719665,0.00021783867169889308,0.00023011689869725823,0.00014443247060507157,0.000033690108970101827,0.000004901143342301304,0.00010541987896822542,0.00027090235454601603,0.0003687232722331534,0.00031027533185470766,0.00013861934351442658,0.00000762381988530851,0.000056606568411332054,0.00028074073123662965,0.0005152054254675629,0.0005633873376076435,0.00037209527402191624,0.00010047030831894464,0.0000049729357255990515,0.00021954811864489533,0.0006163632046589138,0.000885000690230803,0.0007888099236092616,0.00039067259586972086,0.00003913490975562933,0.00009353694054890392,0.0005998860789689653,0.0012036719981331828,0.0014124827827376254,0.0010217494718818667,0.00034304054435699185,4.56749049662062e-8,0.00041231504061515947,0.0013853173741173626,0.0021918737240013415,0.002146364380986699,0.0012311046689262141,0.00022010803365029983,0.00010992547961062712,0.0012578442128238806,0.002953278245597082,0.0038781611503667,0.0031927566417252373,0.0013808869244065075,0.00005569102517714017,0.0007147685047424086,0.0033673665282326817,0.00623786172482444,0.0070172433299602755,0.004849669647517117,0.0014292294107936556,0.00004126264859977513,0.0029573405127674836,0.00913566915658035,0.0143476769368216,0.014213887488902274,0.008201631935760552,0.0013061840289052982,0.0012803167207433126,0.012521743552559516,0.030905534765378204,0.0443706843432268,0.04087799859436037,0.020034002133695973,0.0007431677945651742,0.01790115273776278,0.1068666234526812,0.2822669938961239,0.52272416297608,0.7716291691053754,0.9562278082331563,1.0171723019922216,0.9342554265007295,0.7352994259534987,0.483683443068505,0.25100878708277097,0.08869792866512304,0.011947416061508105,0.0020125136666729196,0.022902646070492545,0.04187993927139665,0.04300196353644391,0.028576038405507303,0.010824736514950938,0.0008306065747937488,0.0016753858466783623
8.77165176165392e-7,0.000010928227729602228,0.00004993197956106512,0.00008848278710953576,0.00009336097023688206,0.00005809969629222428,0.000013034612120038092,0.0000024167016970630855,0.00004515880907474529,0.00011347880765148012,0.00015195811742715703,0.00012511059236290962,0.0000533057135816611,0.0000019774803857355672,0.000027447440889992565,0.0001234221435611746,0.0002178386716988931,0.00023012518220974238,0.00014448037401480822,0.00003374355409942543,0.000004870266241657712,0.00010525970681904275,0.0002707060325579143,0.00036868171574662195,0.00031049490327109206,0.00013895718746631124,0.000007739603368426541,0.000056254910124311656,0.00028006939482615775,0.000514739160343683,0.0005636102041478185,0.0003729404312796362,0.00010121583445858755,0.0000047704909525896905,0.0002182313996166337,0.0006148032117520576,0.0008845307697522681,0.0007900422149108236,0.0003927113263595771,0.00004005685384051155,0.00009198861422737309,0.0005965255829920953,0.0012010270258956234,0.0014129818339161401,0.0010253787556673162,0.00034677497015077135,7.625206885765128e-9,0.00040724207780084665,0.0013783576094873503,0.0021886320175935918,0.0021501857334515705,0.0012393992299839713,0.0002254007018012638,0.00010572146303482702,0.0012449269786287834,0.0029406636334864122,0.0038765901865125494,0.0032050510226677947,0.0013973903801913156,0.00006022141632958171,0.0006980718941088807,0.003337438049344491,0.006216827151356646,0.007024324938190781,0.004882397916744251,0.0014597401292815123,0.000035089708001141745,0.002903574440576497,0.0090640008446458,0.014312900773223013,0.014252235392867966,0.00828992758338094,0.0013617913118963688,0.0012156908286599054,0.01232382604013521,0.030678240855544055,0.04428796200259554,0.04104972916012709,0.020357145808388162,0.0008467758689470508,0.017260806183634094,0.10506875880155207,0.27929896655463826,0.5191203695159926,0.7683571125956934,0.9543312758993029,1.0173289485665729,0.9364685917367216,0.738885893599735,0.4875679141057278,0.25417659549101507,0.09058067061433857,0.01256358160443982,0.001825270814155241,0.02250562248985379,0.041695253066015105,0.043139154996634343,0.028888719296620652,0.011087433767956236,0.0009076378009779031
0.00002178388294489476,8.546684089548433e-7,0.000011003417795344505,0.0000500463313004963,0.00008854449721621011,0.00009332690494195211,0.00005801156224341635,0.000012977575678010258,0.0000024411940352212536,0.000045239309705745145,0.00011354550537853969,0.00015196586901254747,0.00012507528536868579,0.000053275109229889884,0.0000019736647694647782,0.000027447440889992602,0.0001233988051571964,0.0002178112697097434,0.00023015000452944484,0.0001445761647685217,0.000033832704053268774,0.000004824134284113834,0.00010503560217716809,0.0002704441020618493,0.0003686277581481063,0.0003107688713390865,0.00013937029082110544,0.000007879650080417732,0.0000558406280487225,0.0002792863163637563,0.000514199362629922,0.0005638621741493659,0.0003738971473238322,0.00010205699379402613,0.000004549237047886476,0.000216771795350213,0.0006130766676000444,0.0008840059689073676,0.0007913844752634219,0.00039493627861904746,0.000041070266326660986,0.00009032531315017052,0.0005928999911690241,0.0011981649441428943,0.001413494782918177,0.001029254744445435,0.00035078086770085444,2.2497183059860396e-9,0.0004018706397929479,0.001370955394061952,0.0021851466494891116,0.00215417926465601,0.0012481597046931406,0.00023104560751826525,0.00010137875345053242,0.0012313729830951772,0.002927345456639346,0.003874810128087657,0.0032178455970922576,0.001414717945971128,0.00006514544514807118,0.0006808145405035397,0.003306209556088656,0.00619466146794935,0.007031378296589796,0.004916333033668017,0.0014917270934274433,0.00002920532724024332,0.0028481381484752972,0.008989469293510698,0.014276076449164574,0.014291132780892613,0.00838125441068822,0.0014204073249247302,0.0011506088943516969,0.012120337055867366,0.03044249646811843,0.044199516103779306,0.04122378685560824,0.02069064631352828,0.0009602159443200435,0.016614266366580553,0.10323303403805241,0.27625481367718546,0.5154112686861856,0.7649751123023609,0.9523520621172948,1.0174566658456299,0.9387162940461231,0.742559000175702,0.4915636419348316,0.2574483903472964,0.09253649528325222,0.013214183019449974,0.0016416014338820506,0.022097559686347787,0.04150034083384795,0.043274927055254084,0.029208108958914278,0.011359126279549403
0.00005043314244792902,0.00002170369459575009,8.35611046436091e-7,0.000011067224878645566,0.000050141629068233424,0.00008859484805793335,0.00009329951484672127,0.000057942983752957596,0.00001293486418389362,0.0000024587644252996045,0.000045293002660356766,0.00011358550813825066,0.00015196972639177226,0.00012506351211509444,0.00005327510922988986,0.0000019774803857355833,0.00002741882838111832,0.00012332879059614424,0.00021775642043583745,0.00023019128174826532,0.00014471981049105076,0.00003395767042396696,0.000004762967940829232,0.000104747702103989,0.000270116421100923,0.00036856100387788624,0.00031109690347687227,0.0001398587604995798,0.000008044561597694338,0.00005536438170688214,0.00027839157160776526,0.0005135852672606177,0.0005641421516019714,0.00037496498499001125,0.00010299463270075939,0.00000431084175068291,0.00021517040746095385,0.0006111829047973214,0.0008834240488925124,0.000792834657330729,0.00039734761789116287,0.00004217792659630015,0.00008855043919855305,0.0005890102744114313,0.0011950828216758084,0.001414016678006769,0.0010333746926281665,0.00035506081808535145,3.630118976811284e-8,0.00039620632360905055,0.0013631097223492802,0.002181409503156604,0.002158335764684895,0.0012573841964955276,0.00023705169780672173,0.00009691141420521652,0.0012171896341069289,0.002913316162815252,0.0038728021130216375,0.003231125188745206,0.0014328733082571124,0.00007048709711290435,0.0006630237824223356,0.0032736875351168987,0.006171339318258983,0.007038361868268801,0.004951452171497683,0.0015252134009745176,0.000023671020691387095,0.002791086523440521,0.008912070639626967,0.014237127820128537,0.014330480974381268,0.008475579561004216,0.0014821247743985616,0.0010852559737068019,0.011911422837568963,0.03019825971906759,0.04410507663760821,0.04139983284406082,0.021034423701154617,0.001083994385489879,0.01596272320392134,0.10136103701687191,0.2731358961657366,0.5115972859903261,0.761482222425552,0.9502879491767773,1.017552619651748,0.9409960271247679,0.7463173845913614,0.49567074055662474,0.2608254892254144,0.09456722523534454,0.013900787796737656,0.001462340741801723,0.021678524028596623,0.04129481727093752,0.043408867744550626,0.029534054957465194
0.000060602121863883026,0.00005037767825714529,0.000021635885097830316,8.198891508459478e-7,0.00001111955643413161,0.00005021787006025935,0.00008863392300054213,0.00009327889190247388,0.00005789398324075436,0.00001290642126081168,0.0000024693370315447163,0.000045319856880322724,0.00011359883982979122,0.00015196972639177232,0.00012507528536868598,0.00005330571358166115,0.000001988948710845102,0.000027361644301508363,0.00012321210129115514,0.00021767403332102932,0.00023024887350271635,0.0001449112623866413,0.00003411860928798205,0.0000046870610589569875,0.00010439618356593877,0.00026972281215705067,0.0003684809701521227,0.00031147859980360285,0.00014042272018881206,0.000008235038262216027,0.0000548269340973657,0.00027738525132887416,0.0005128960112305164,0.0005644489021463032,0.00037614344792513926,0.00010402968198738341,0.000004057146976484731,0.0002134284589245493,0.0006091212082117817,0.0008827825741824073,0.0007943905248427247,0.00039994549796141106,0.00004338281888404293,0.0000866676672633936,0.0005848575119768282,0.0011917775566196494,0.001414542227911418,0.001037735618942107,0.00035961750531089367,1.169330734784067e-7,0.0003902551231320574,0.0013548196325019319,0.0021774120612164656,0.0021626454613987212,0.0012670705601231427,0.00024342825678365758,0.0000923342422169396,0.0012023848970357045,0.0028985680721036098,0.0038705464513825397,0.003244873703083291,0.0014518599563452487,0.00007627119614962824,0.0006447283218311004,0.0032398792896713457,0.006146834776487093,0.007045232392376771,0.004987730901581116,0.001560222131116282,0.000018550319220300994,0.0027324772776743996,0.008831802361465056,0.014195977075249961,0.014370177242410674,0.008572866706487492,0.0015470369100964605,0.0010198227065313344,0.011697237397419548,0.0299454927037346,0.044004368822665375,0.04157751527593188,0.02138838477406754,0.0012186167722662167,0.015307388757647554,0.09945440120159717,0.26994363122781234,0.5076788917487297,0.7578775053244847,0.9481366824107273,1.0176138986570826,0.9433051927799208,0.750159610023584,0.49988928889910594,0.26430922112965227,0.09667473004048054,0.014625021080903019,0.001288369003581366,0.021248601593025686,0.04107829326053743,0.04354054974549102
